dataset,method,num_partitions,runs,highest_test_mean,highest_test_std,final_test_mean,final_test_std,highest_val_epoch,notes
cora,pcgt,7,5,84.22,0.87,82.98,0.49,459,auto-logged run_time=13.1ms
chameleon,pcgt,10,5,48.01,2.23,44.13,2.88,75,auto-logged run_time=16.1ms
squirrel,pcgt,10,5,47.19,2.45,44.86,3.73,73,auto-logged run_time=19.7ms
cora,pcgt,7,5,83.90,0.66,82.78,0.73,302,auto-logged run_time=15.0ms
cora,pcgt,7,5,83.58,0.66,82.80,0.82,156,auto-logged run_time=12.5ms
squirrel,pcgt,10,5,46.03,2.09,43.04,1.63,82,auto-logged run_time=14.5ms
chameleon,pcgt,10,5,48.84,3.18,44.11,1.86,177,auto-logged run_time=11.9ms
chameleon,pcgt,10,5,48.66,2.64,43.67,2.86,115,auto-logged run_time=12.4ms
squirrel,pcgt,10,5,46.07,1.95,43.72,1.47,60,auto-logged run_time=15.0ms
cora,pcgt,7,5,83.64,0.62,81.94,1.04,20,auto-logged run_time=12.7ms
cora,pcgt,7,5,83.74,0.69,82.50,1.32,186,auto-logged run_time=15.0ms
squirrel,pcgt,10,5,47.01,1.51,44.48,1.92,62,auto-logged run_time=18.7ms
chameleon,pcgt,10,5,47.66,2.14,42.96,2.56,56,auto-logged run_time=15.7ms
squirrel,pcgt,10,5,39.31,1.52,38.15,2.09,18,auto-logged run_time=14.6ms
cora,pcgt,7,5,68.72,1.30,67.72,1.60,29,auto-logged run_time=11.1ms
chameleon,pcgt,10,5,42.63,2.90,39.85,3.11,147,auto-logged run_time=13.8ms
squirrel,pcgt,10,5,45.85,0.94,43.53,1.75,75,auto-logged run_time=19.2ms
chameleon,pcgt,10,5,48.08,3.16,43.57,2.62,79,auto-logged run_time=16.2ms
cora,pcgt,7,5,83.90,0.59,82.86,0.81,248,auto-logged run_time=15.0ms
cora,gcn,0,5,84.14,0.62,82.70,0.70,93,auto-logged run_time=4.8ms
chameleon,gcn,0,5,45.94,3.18,42.53,4.33,223,auto-logged run_time=2.8ms
squirrel,gcn,0,5,42.43,1.20,40.19,2.01,100,auto-logged run_time=4.3ms
squirrel,sgformer,0,5,46.61,1.74,44.38,2.53,95,auto-logged run_time=7.5ms
chameleon,sgformer,0,5,48.00,2.63,42.27,0.96,73,auto-logged run_time=5.3ms
cora,sgformer,0,5,84.78,1.10,83.62,1.82,85,auto-logged run_time=7.3ms
pubmed,sgformer,0,10,79.35,1.02,78.19,1.53,60,auto-logged run_time=17.4ms
chameleon,sgformer,0,10,48.67,3.03,44.08,2.63,151,auto-logged run_time=11.4ms
citeseer,sgformer,0,10,69.32,0.41,67.95,1.03,39,auto-logged run_time=17.1ms
cora,sgformer,0,10,83.82,0.32,82.40,0.90,199,auto-logged run_time=16.6ms
deezer-europe,sgformer,0,10,67.15,0.48,66.90,0.49,23,auto-logged run_time=26.3ms
film,sgformer,0,10,29.49,4.06,29.00,4.17,350,auto-logged run_time=23.7ms
squirrel,sgformer,0,10,43.04,1.68,40.47,1.92,303,auto-logged run_time=19.6ms
cora,pcgt,10,5,84.30,0.60,83.50,1.33,7,auto-logged run_time=17.5ms
chameleon,pcgt,10,5,48.11,1.81,44.67,1.65,75,auto-logged run_time=16.9ms
squirrel,pcgt,10,5,46.29,2.31,44.02,2.82,78,auto-logged run_time=17.8ms
cora,pcgt,10,5,84.40,0.49,83.78,0.93,10,auto-logged run_time=16.6ms
chameleon,pcgt,10,5,47.64,2.55,44.59,2.40,160,auto-logged run_time=15.9ms
squirrel,pcgt,10,5,47.27,2.43,45.21,4.04,86,auto-logged run_time=18.1ms
cora,pcgt,10,5,84.14,0.72,83.40,0.79,17,auto-logged run_time=17.2ms
chameleon,pcgt,10,5,48.66,3.39,44.56,4.40,61,auto-logged run_time=16.4ms
squirrel,pcgt,10,5,46.79,2.13,43.23,1.51,83,auto-logged run_time=18.5ms
